Top-10
          Precision           Recall        F-Measure   Avg. Precision             NDCG
01            0.600            0.076            0.135            0.833            0.257
02            0.500            0.050            0.090            0.694            0.125
03            0.000            0.000            0.000            0.000            0.000
04            0.000            0.000            0.000            0.000            0.000
05            0.100            0.042            0.059            0.085            0.035
06            1.000            0.106            0.192            1.000            0.319
07            0.700            0.061            0.112            0.663            0.093
08            0.300            0.019            0.035            0.570            0.050
09            0.700            0.061            0.112            0.450            0.113
10            1.000            0.750            0.857            1.000            0.913
11            0.100            0.009            0.017            0.085            0.010
12            0.500            0.020            0.038            0.823            0.048
13            0.200            0.083            0.118            0.164            0.077
14            0.000            0.000            0.000            0.000            0.000
15            0.000            0.000            0.000            0.000            0.000
16            0.300            0.020            0.038            0.350            0.038
17            0.000            0.000            0.000            0.000            0.000
18            1.000            1.000            1.000            1.000            1.000
19            0.000            0.000            0.000            0.000            0.000
20            0.100            0.009            0.016            0.293            0.026
21            0.600            0.075            0.133            0.757            0.179
22            0.000            0.000            0.000            0.000            0.000
23            0.200            0.013            0.024            0.486            0.052
24            0.700            0.269            0.389            0.721            0.445
25            0.100            0.031            0.048            0.065            0.027
26            0.700            0.149            0.246            0.531            0.273
27            0.100            0.034            0.051            0.293            0.115
28            0.100            0.077            0.087            0.293            0.100
29            0.100            0.023            0.038            0.110            0.022
30            0.200            0.012            0.023            0.214            0.044
31            0.000            0.000            0.000            0.000            0.000
32            0.000            0.000            0.000            0.000            0.000
33            0.000            0.000            0.000            0.000            0.000
34            0.100            0.032            0.049            0.065            0.035
35            0.900            0.033            0.064            0.890            0.109
36            0.800            0.031            0.061            0.723            0.104
37            0.000            0.000            0.000            0.000            0.000
38            0.000            0.000            0.000            0.000            0.000
39            0.000            0.000            0.000            0.000            0.000
40            0.200            0.007            0.014            0.227            0.015
41            0.000            0.000            0.000            0.000            0.000
42            0.200            0.003            0.006            0.436            0.021
43            0.100            0.005            0.010            0.143            0.029
44            0.600            0.009            0.018            0.742            0.021
45            0.100            0.006            0.012            0.143            0.012
46            1.000            0.051            0.097            1.000            0.179
47            0.000            0.000            0.000            0.000            0.000
48            0.300            0.019            0.036            0.595            0.080
49            0.400            0.055            0.096            0.421            0.086
50            0.000            0.000            0.000            0.000            0.000

Top-10 - Average
     Precision           Recall        F-Measure   Avg. Precision             NDCG
         0.292            0.065            0.086            0.337            0.101

Top-20
          Precision           Recall        F-Measure   Avg. Precision             NDCG
01            0.650            0.165            0.263            0.761            0.371
02            0.300            0.059            0.099            0.516            0.132
03            0.050            0.006            0.010            0.029            0.009
04            0.000            0.000            0.000            0.000            0.000
05            0.050            0.042            0.045            0.076            0.035
06            1.000            0.213            0.351            1.000            0.474
07            0.350            0.061            0.104            0.566            0.093
08            0.150            0.019            0.033            0.385            0.050
09            0.850            0.148            0.252            0.625            0.224
10            1.000            0.750            0.857            1.000            0.913
11            0.050            0.009            0.015            0.076            0.010
12            0.400            0.031            0.058            0.613            0.065
13            0.100            0.083            0.091            0.149            0.077
14            0.000            0.000            0.000            0.000            0.000
15            0.100            0.022            0.036            0.016            0.014
16            0.200            0.027            0.048            0.296            0.043
17            0.000            0.000            0.000            0.000            0.000
18            1.000            1.000            1.000            1.000            1.000
19            0.000            0.000            0.000            0.000            0.000
20            0.050            0.009            0.015            0.180            0.026
21            0.450            0.113            0.180            0.645            0.237
22            0.000            0.000            0.000            0.000            0.000
23            0.100            0.013            0.022            0.310            0.052
24            0.600            0.462            0.522            0.707            0.545
25            0.050            0.031            0.038            0.066            0.027
26            0.500            0.213            0.299            0.545            0.335
27            0.050            0.034            0.041            0.180            0.115
28            0.050            0.077            0.061            0.180            0.100
29            0.050            0.023            0.032            0.088            0.022
30            0.100            0.012            0.022            0.174            0.044
31            0.000            0.000            0.000            0.000            0.000
32            0.100            0.004            0.008            0.020            0.005
33            0.000            0.000            0.000            0.000            0.000
34            0.050            0.032            0.039            0.066            0.035
35            0.950            0.070            0.131            0.912            0.168
36            0.900            0.071            0.131            0.794            0.174
37            0.050            0.007            0.012            0.029            0.010
38            0.000            0.000            0.000            0.000            0.000
39            0.000            0.000            0.000            0.000            0.000
40            0.150            0.011            0.020            0.195            0.022
41            0.100            0.003            0.007            0.013            0.004
42            0.100            0.003            0.006            0.285            0.021
43            0.050            0.005            0.009            0.105            0.029
44            0.500            0.015            0.030            0.628            0.029
45            0.050            0.006            0.011            0.105            0.012
46            0.900            0.091            0.166            0.987            0.250
47            0.000            0.000            0.000            0.000            0.000
48            0.200            0.026            0.046            0.406            0.085
49            0.250            0.068            0.108            0.362            0.104
50            0.250            0.017            0.031            0.050            0.018

Top-20 - Average
     Precision           Recall        F-Measure   Avg. Precision             NDCG
         0.257            0.081            0.105            0.303            0.120

Top-50
          Precision           Recall        F-Measure   Avg. Precision             NDCG
01            0.260            0.165            0.202            0.539            0.371
02            0.180            0.089            0.119            0.342            0.155
03            0.040            0.011            0.017            0.048            0.016
04            0.000            0.000            0.000            0.000            0.000
05            0.020            0.042            0.027            0.048            0.035
06            0.841            0.394            0.536            0.955            0.677
07            0.200            0.087            0.121            0.357            0.116
08            0.080            0.025            0.038            0.220            0.054
09            0.860            0.374            0.521            0.772            0.442
10            1.000            0.750            0.857            1.000            0.913
11            0.040            0.018            0.025            0.053            0.014
12            0.160            0.031            0.052            0.389            0.065
13            0.080            0.167            0.108            0.109            0.109
14            0.000            0.000            0.000            0.000            0.000
15            0.040            0.022            0.029            0.043            0.014
16            0.140            0.048            0.071            0.224            0.055
17            0.000            0.000            0.000            0.000            0.000
18            1.000            1.000            1.000            1.000            1.000
19            0.000            0.000            0.000            0.000            0.000
20            0.020            0.009            0.012            0.090            0.026
21            0.420            0.263            0.323            0.504            0.361
22            0.040            0.010            0.015            0.004            0.012
23            0.040            0.013            0.019            0.160            0.052
24            0.340            0.654            0.447            0.571            0.625
25            0.040            0.062            0.049            0.046            0.040
26            0.360            0.383            0.371            0.465            0.466
27            0.020            0.034            0.025            0.090            0.115
28            0.040            0.154            0.063            0.091            0.135
29            0.040            0.047            0.043            0.069            0.041
30            0.120            0.036            0.056            0.126            0.068
31            0.020            0.007            0.011            0.006            0.007
32            0.060            0.006            0.011            0.058            0.007
33            0.000            0.000            0.000            0.000            0.000
34            0.020            0.032            0.025            0.044            0.035
35            0.720            0.133            0.224            0.816            0.243
36            0.960            0.189            0.316            0.882            0.335
37            0.200            0.067            0.101            0.079            0.071
38            0.020            0.002            0.004            0.006            0.002
39            0.000            0.000            0.000            0.000            0.000
40            0.100            0.018            0.031            0.148            0.030
41            0.380            0.033            0.060            0.183            0.030
42            0.120            0.009            0.016            0.184            0.028
43            0.020            0.005            0.008            0.060            0.029
44            0.340            0.026            0.049            0.505            0.041
45            0.020            0.006            0.010            0.060            0.012
46            0.760            0.193            0.308            0.882            0.384
47            0.020            0.003            0.005            0.007            0.003
48            0.260            0.084            0.127            0.295            0.138
49            0.100            0.068            0.081            0.235            0.104
50            0.140            0.023            0.040            0.136            0.024

Top-50 - Average
     Precision           Recall        F-Measure   Avg. Precision             NDCG
         0.214            0.116            0.131            0.258            0.150

